title,company_profile,description,fraudulent
"Data Entry Clerk","We are a logistics company.","Looking for a data entry clerk to manage Excel sheets and update shipment records.",0
"Work From Home - Earn $500 Daily","No info","Make money from home with no experience needed. Just sign up and start earning today!",1
"Software Developer","Tech firm specializing in web apps.","Weâ€™re looking for a full-stack developer with experience in React and Node.js.",0
"Get Paid To Post Ads","Unknown","Post ads online and get paid daily! No skills required. Limited spots!",1
"UX Designer","Award-winning design agency.","Looking for a UX designer to create user-friendly designs for mobile apps.",0
"Administrative Assistant","Corporate firm in NY.","Support our admin team with scheduling and office tasks. Basic MS Office skills required.",0
"Online Survey Taker","Global Research Group","Earn up to $100/hour by taking online surveys. No qualifications needed!",1
"Product Manager","Fintech Startup","We need a product manager with agile experience to lead product development.",0
"Work-at-home Typist","TypingWorks Ltd.","Type documents and get paid per page. Instant start, no experience required!",1
"Java Developer","Top-tier bank","Join our backend team to build scalable Java applications in a microservices environment.",0
